finger,acc_x,acc_y,acc_z,orientation,quat_w,quat_x,quat_y,quat_z,target
INDEX,-0.892,-0.15,0.201,Left,0.39,-0.574,0.197,0.693,B
PALM,1.012,0.191,0.087,Left,-0.63,0.279,0.596,0.411,B
PINKY,-0.874,0.329,0.203,Away from you,-0.785,-0.209,-0.583,-0.011,B
RING,-0.94,0.083,-0.175,Towards you,0.087,-0.738,0.171,0.647,B
MIDDLE,-0.984,-0.104,0.031,Left,0.651,-0.386,0.577,0.308,B
THUMB,0.813,-0.599,0.173,Towards you,0.71,-0.294,-0.607,0.203,B
INDEX,-0.898,-0.137,0.202,Left,0.418,-0.568,0.215,0.676,B
PALM,1.006,0.209,0.09,Left,-0.601,0.315,0.584,0.446,B
PINKY,-0.849,0.337,0.237,Away from you,-0.785,-0.225,-0.577,0.01,B
RING,-0.951,0.077,-0.112,Towards you,0.106,-0.732,0.193,0.645,B
MIDDLE,-0.957,-0.127,0.096,Left,0.66,-0.37,0.585,0.292,B
THUMB,0.818,-0.597,0.161,Towards you,0.715,-0.317,-0.596,0.18,B
INDEX,-0.899,-0.154,0.178,Left,0.427,-0.567,0.22,0.669,B
PALM,1.011,0.206,0.044,Left,-0.586,0.33,0.581,0.458,B
PINKY,-0.879,0.32,0.195,Away from you,-0.78,-0.214,-0.588,0.001,B
RING,-0.94,0.071,-0.18,Towards you,0.107,-0.74,0.187,0.637,B
MIDDLE,-0.973,-0.155,0.028,Left,0.657,-0.374,0.591,0.281,B
THUMB,0.794,-0.662,0.147,Towards you,0.716,-0.339,-0.585,0.174,B
INDEX,-0.888,-0.218,0.19,Left,0.431,-0.575,0.221,0.66,B
PALM,1.018,0.247,0.048,Left,-0.563,0.348,0.579,0.477,B
PINKY,-0.918,0.344,0.167,Away from you,-0.778,-0.223,-0.587,0.019,B
RING,-0.939,0.084,-0.169,Towards you,0.125,-0.736,0.207,0.633,B
MIDDLE,-0.932,-0.115,0.079,Left,0.667,-0.353,0.601,0.263,B
THUMB,0.796,-0.596,0.125,Towards you,0.722,-0.358,-0.575,0.14,B
INDEX,-0.885,-0.186,0.189,Left,0.442,-0.566,0.23,0.657,B
PALM,1.015,0.218,0.048,Left,-0.555,0.362,0.566,0.49,B
PINKY,-0.875,0.317,0.18,Away from you,-0.776,-0.209,-0.596,-0.007,B
RING,-0.929,0.057,-0.188,Towards you,0.108,-0.744,0.19,0.632,B
MIDDLE,-0.947,-0.143,0.022,Left,0.656,-0.368,0.601,0.271,B
THUMB,0.783,-0.657,0.177,Towards you,0.725,-0.364,-0.566,0.15,B
INDEX,-0.931,-0.183,0.149,Left,0.424,-0.58,0.227,0.658,B
PALM,1.008,0.219,0.016,Left,-0.551,0.367,0.571,0.485,B
PINKY,-0.87,0.351,0.199,Away from you,-0.777,-0.194,-0.598,-0.031,B
RING,-0.935,0.079,-0.16,Towards you,0.092,-0.743,0.178,0.639,B
MIDDLE,-0.975,-0.154,0.043,Left,0.658,-0.366,0.594,0.283,B
THUMB,0.797,-0.64,0.175,Towards you,0.727,-0.36,-0.568,0.136,B
INDEX,-0.894,-0.134,0.202,Left,0.419,-0.569,0.223,0.672,B
PALM,1.016,0.178,0.097,Left,-0.558,0.37,0.553,0.496,B
PINKY,-0.869,0.331,0.204,Away from you,-0.781,-0.185,-0.594,-0.056,B
RING,-0.94,0.084,-0.166,Towards you,0.077,-0.74,0.168,0.646,B
MIDDLE,-0.972,-0.106,0.042,Left,0.655,-0.367,0.59,0.297,B
THUMB,0.803,-0.622,0.199,Towards you,0.732,-0.355,-0.566,0.134,B
INDEX,-0.903,-0.132,0.201,Left,0.4,-0.572,0.217,0.682,B
PALM,1.017,0.186,0.076,Left,-0.563,0.369,0.554,0.49,B
PINKY,-0.866,0.339,0.197,Away from you,-0.774,-0.163,-0.606,-0.083,B
RING,-0.942,0.089,-0.163,Towards you,0.061,-0.749,0.15,0.642,B
MIDDLE,-0.967,-0.111,0.049,Left,0.646,-0.379,0.588,0.305,B
THUMB,0.804,-0.615,0.182,Towards you,0.733,-0.357,-0.562,0.139,B
INDEX,-0.901,-0.14,0.177,Left,0.386,-0.58,0.21,0.686,B
PALM,1.024,0.175,0.044,Left,-0.558,0.373,0.557,0.488,B
PINKY,-0.884,0.322,0.174,Away from you,-0.767,-0.146,-0.616,-0.103,B
RING,-0.935,0.082,-0.179,Towards you,0.049,-0.756,0.135,0.639,B
MIDDLE,-0.968,-0.118,0.047,Left,0.641,-0.387,0.587,0.31,B
THUMB,0.793,-0.608,0.191,Towards you,0.734,-0.362,-0.558,0.136,B
INDEX,-0.9,-0.133,0.187,Left,0.378,-0.583,0.204,0.689,B
PALM,1.019,0.176,0.06,Left,-0.554,0.379,0.553,0.493,B
PINKY,-0.878,0.331,0.173,Away from you,-0.765,-0.133,-0.619,-0.121,B
RING,-0.941,0.096,-0.184,Towards you,0.04,-0.758,0.126,0.639,B
MIDDLE,-0.974,-0.117,0.024,Left,0.638,-0.39,0.585,0.314,B
THUMB,0.791,-0.631,0.197,Towards you,0.736,-0.367,-0.553,0.131,B
INDEX,-0.901,-0.131,0.177,Left,0.371,-0.587,0.199,0.692,B
PALM,1.016,0.194,0.04,Left,-0.549,0.384,0.553,0.496,B
PINKY,-0.877,0.34,0.182,Away from you,-0.761,-0.116,-0.623,-0.14,B
RING,-0.933,0.085,-0.192,Towards you,0.03,-0.761,0.112,0.639,B
MIDDLE,-0.974,-0.114,0.016,Left,0.634,-0.398,0.582,0.319,B
THUMB,0.785,-0.638,0.196,Towards you,0.736,-0.371,-0.551,0.131,B
INDEX,-0.906,-0.145,0.172,Left,0.36,-0.592,0.191,0.695,B
PALM,1.02,0.202,0.048,Left,-0.545,0.386,0.553,0.498,B
PINKY,-0.878,0.339,0.174,Away from you,-0.757,-0.1,-0.627,-0.158,B
